0,icecream@tastes.good,pbkdf2:sha256:260000$1GvmeoAkcWb89TyU$5f711eafb243c1c1a884715dd9bd6d185f29ccd3dab59ad19cc201a7260091cb,Joey,Shmoey,123 Ice Cream Lane,0,False
1,coolbeans@coffee.strong,pbkdf2:sha256:260000$1GvmeoAkcWb89TyU$5f711eafb243c1c1a884715dd9bd6d185f29ccd3dab59ad19cc201a7260091cb,Mary,Jane,127 Ice Cream Lane,0,False
2,lambnancy@yahoo.com,pbkdf2:sha256:600000$6o0JUfkWjvqc8RF5$bf3842adfe462bd92224ae06310324b60645c9b4620bc94de1a0a5f368c13722,Joan,Page,206 Stewart Forest,14.91,False
3,kellywoods@gmail.com,pbkdf2:sha256:600000$ZYGiC8DDIjmhFkBr$11e21eb0b87d18b573f3d4da6471121ee804ddd177c2d59434bc560064ebf71a,Steven,Bowman,81465 Perry Courts Suite 755,127.61,False
4,taguilar@hotmail.com,pbkdf2:sha256:600000$X01IpPfSQ7pNrfo7$79e96bda1586edfd79fe51bfa3dadc32300a50fff48673dfecbb61b118d91371,Linda,Freeman,18013 Billy Bridge Suite 522,671.58,False
5,vmendez@hotmail.com,pbkdf2:sha256:600000$roAlNv8maSCfAnT4$7f357616f6d13817753b54da70d1fe735a32b75ea6dc5d49f3b5decfed1c2da3,Sharon,Love,64183 Kimberly Mills Suite 375,647.09,False
6,eric22@gmail.com,pbkdf2:sha256:600000$g3T8ZlgmOLYDBjIi$143d19cfd62a29fd7553d6bf96fe09f3b17dc27e652b45f2c3370a5cd6780f41,Melissa,Cantu,24560 Carolyn Lock,79.89,False
7,webbjames@gmail.com,pbkdf2:sha256:600000$7VHFVjj9ipTa7s5G$2119e8940a725f331aa4c6dd0acbbfb41a65f3b21f86b72f5d788361101160d7,Cody,Fisher,703 Wilson Roads Suite 892,434.90,False
8,juliewilliams@hotmail.com,pbkdf2:sha256:600000$V3CSBQciIvyn0jFV$d27bb647c3ce245cd3174a451217bee8cb947247a95d1c7366ed275ea33554cb,Keith,Taylor,7608 Gloria Common,702.94,False
9,fcarpenter@yahoo.com,pbkdf2:sha256:600000$9qyEk3NdXSmF1ikL$23def484843b5cf7ae32feac166b18b15817ed4e1dfc71dd37ecb3cc88028191,Amanda,Schultz,54000 Michael Highway Apt. 216,696.28,False
10,qherrera@yahoo.com,pbkdf2:sha256:600000$a7b7gYpaKFY9luIz$6e1c613fe9dbc485ce8c29ce9afca2d89e41adec39e8126bd2b1f3284817b91c,Brittany,Henson,91263 Justin Street,675.00,False
11,kristen60@gmail.com,pbkdf2:sha256:600000$6AY8wdvg8eebljGe$d640cd491ea321b72e36b0db3565abaa7779cc06cc0b94f0b5a5b709222c11df,Stephanie,Rodriguez,357 Jordan Skyway Apt. 405,587.69,False
12,ablackburn@yahoo.com,pbkdf2:sha256:600000$BLCmcHzvaiIpvYXH$23c5b3bd60952579ddbc148a66a7444fd4d83dde4a250ddf70627f136548c8e1,Kyle,Oliver,708 Villa Camp Suite 616,354.63,False
13,rfischer@yahoo.com,pbkdf2:sha256:600000$P2oRz1dusIbvxb8W$757d9eff6d713b044bd48ffce62005862e3665508fcdc774c4266cbcf5e4d87b,Brenda,Williams,4488 Branch Field,722.55,False
14,michael13@hotmail.com,pbkdf2:sha256:600000$2loOLtP8QePD27m5$61b8736f1aad49bfbafb749d23062f7e447d2f7fea6f7af546f36d438242e287,Alvin,Smith,50562 Russell Divide Apt. 648,61.20,False
15,bradleybrewer@hotmail.com,pbkdf2:sha256:600000$TcUyms5m8TZuKWH9$13a3e50bca9b9e4e926192f90fab80593a352c966a636a5602c5afd4311696de,Kelly,Mckinney,92516 Scott Rapids Suite 497,422.23,False
16,natalieford@hotmail.com,pbkdf2:sha256:600000$QUbVebAUj8AKz6q8$04768a2bdc8e6c19587828ecd517a4da69ba9e80839017d084f3a8d616ff6d54,Aaron,Morgan,029 Gloria Stravenue Apt. 200,331.65,False
17,courtneymiranda@hotmail.com,pbkdf2:sha256:600000$GIujrA15IqzQ8wJx$f893484f37b1dc29e87539d4d6f32c1685df7b499e071ccdb8e18d68459412cf,Frank,Yates,42954 Walters Highway,564.55,False
